source_id,teff_gspphot,logg_gspphot,mh_gspphot,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,lum_flame,mass_flame,radius_flame,age_flame
356348286886230272,6245.1133,4.2744,-0.2559,-22.523651,1.5963125,3.493757310890448,0.020485217,11.129302,2.2137954,1.1745554,1.2708417,2.8757854
430269136520563200,6153.87,3.9061,-0.0213,-24.866488,1.232832,1.6720708080257451,0.010649506,12.259826,6.8444595,1.475242,2.3013666,2.6341627
753585104807022080,,,,19.835129,0.3195764,53.897468010537054,0.026753344,11.720614,,,,
777254360337133312,5763.587,4.2777,-0.2491,11.238122,0.12335629,72.00696109116399,0.097399384,4.866588,1.6109413,0.9863498,1.273024,10.094547
1438888501713397760,5252.338,4.5444,0.2995,-32.736744,0.4701693,5.88628780143333,0.010485501,11.646983,0.5051343,0.8464223,0.85804015,10.158203
1510191594552968832,5164.3457,4.5727,0.5399,-23.306894,0.31029972,7.41592023148546,0.014328971,11.278651,0.46098825,0.8133875,0.8489799,13.428445
1678074272650459008,,,,-41.793205,0.32265493,27.74003160483277,0.012538824,12.1102085,,,,
2029433521248546304,5435.3867,4.3218,-0.0214,-45.338062,0.11665686,62.48650893182535,0.03535643,5.552787,1.1514908,,1.2101425,
2076166029596100224,6194.367,4.2649,-0.23,,,0.5988220484286767,0.019599805,15.022889,2.4237802,1.1767958,1.3520973,3.6649451
2077586873492185344,5716.7754,4.1772,0.0107,19.722004,6.717712,0.8606794116082134,0.014053196,14.352252,1.7827876,0.9801192,1.3744639,11.113667
2086337508581280256,5547.5566,3.8256,-0.1028,,,0.5004717268049359,0.02149418,15.383721,2.3366976,1.0161723,1.6540134,10.410744
2104065209430717568,3981.4817,4.3901,-0.5277,,,2.1400547636904395,0.032256808,15.875218,0.14703538,0.6825288,0.7992011,
2105848204973533696,5241.5244,4.4347,-0.4886,,,0.6862714619186,0.03741458,15.94814,0.66824925,0.8342717,0.99933773,
2126563450717837056,4739.2227,4.6492,0.0635,,,1.1490473514671533,0.029685186,15.934833,0.27973852,0.7530719,0.7822339,10.751872
2127355923723254272,5889.3286,4.1285,-0.2273,12.179286,3.6455579,0.8136469880011354,0.011751153,13.93908,2.936004,1.1102686,1.6470605,6.9914665
2139082524468869248,6256.606,4.2047,-0.0109,-6.9384437,1.0985546,2.063540634332771,0.008892655,11.916389,2.793157,1.2114478,1.4220315,3.452802
