pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_dr2_id,gaia_dr3_id,default_flag,pl_refname,sy_refname,disc_pubdate,disc_year,discoverymethod,disc_locale,disc_facility,disc_instrument,disc_telescope,disc_refname,ra,rastr,dec,decstr,glon,glat,elon,elat,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbperstr,pl_orblpererr1,pl_orblper,pl_orblpererr2,pl_orblperlim,pl_orblperstr,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxstr,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbinclstr,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orbtperstr,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenstr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtstr,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_occdepstr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolstr,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densstr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepstr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidstr,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_trandurstr,sy_kmagstr,sy_umag,sy_umagerr1,sy_umagerr2,sy_umagstr,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_rmagstr,sy_imag,sy_imagerr1,sy_imagerr2,sy_imagstr,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_zmagstr,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w1magstr,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w2magstr,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w3magstr,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_w4magstr,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_gmagstr,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_gaiamagstr,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_tmagstr,pl_controv_flag,pl_tsystemref,st_metratio,st_spectype,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,sy_kepmagstr,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_rotpstr,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_projobliqstr,x,y,z,htm20,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_rvampstr,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radjstr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radestr,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_ratrorstr,pl_ratdor,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,pl_trueobliqstr,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_icmagstr,rowupdate,pl_pubdate,st_refname,releasedate,dkin_flag,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratdorstr,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_impparstr,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_cmassjstr,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassestr,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_massjstr,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massestr,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassjstr,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassestr,pl_bmassprov,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_msinijstr,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msiniestr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffstr,st_met,st_meterr1,st_meterr2,st_metlim,st_metstr,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvstr,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_vsinstr,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumstr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggstr,st_age,st_ageerr1,st_ageerr2,st_agelim,st_agestr,st_mass,st_masserr1,st_masserr2,st_masslim,st_massstr,st_dens,st_denserr1,st_denserr2,st_denslim,st_densstr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radstr,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,soltype,sy_snum,sy_pnum,sy_mnum,cb_flag,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_nnotes,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmstr,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmrastr,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_pmdecstr,sy_plx,sy_plxerr1,sy_plxerr2,sy_plxstr,sy_dist,sy_disterr1,sy_disterr2,sy_diststr,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_bmagstr,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_vmagstr,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_jmagstr,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_hmagstr,sy_kmag,sy_kmagerr1,sy_kmagerr2
HD 114783 b,b,HD 114783,HD 114783,HIP 64457,TIC 292113181,Gaia DR2 3684934540986187776,Gaia DR3 3684934540986187776,1,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2002-03,2001.0,Radial Velocity,Ground,W. M. Keck Observatory,HIRES Spectrometer,10 m Keck I Telescope,<a refstr=VOGT_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJ...568..352V/abstract target=ref> Vogt et al. 2002 </a>,198.1818436,13h12m43.64s,-2.2649921,-02d15m53.97s,313.66815,60.16222,197.63109,5.03492,493.7,1.8,-1.8,0.0,493.7&plusmn;1.8,11.0,86.0,-11.0,0.0,86&plusmn;11,1.16,0.019,-0.019,0.0,1.160&plusmn;0.019,,,,,,2453806.0,14.0,-14.0,0.0,2453806&plusmn;14,0.144,0.032,-0.032,0.0,0.144&plusmn;0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.475&plusmn;0.017,,,,,,,,,,,,,,,,,5.459,0.157,-0.157,5.459&plusmn;0.157,5.348,0.05,-0.05,5.348&plusmn;0.050,5.5,0.016,-0.016,5.500&plusmn;0.016,5.468,0.04,-0.04,5.468&plusmn;0.040,,,,,7.31783,0.000324,-0.000324,7.317830&plusmn;0.000324,6.7671,0.006,-0.006,6.7671&plusmn;0.0060,0,,[Fe/H],K0,,,,,,,,,,,,,,,-0.9493287166478404,-0.311790084246394,-0.0395212741873385,-856477977,31.9,0.9,-0.9,0.0,31.9&plusmn;0.9,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-14,2009-05,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,2014-05-14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.06,-0.06,0.0,1.10&plusmn;0.06,349.6,19.07,-19.07,0.0,349.60&plusmn;19.07,Msini,1.1,0.06,-0.06,0.0,1.10&plusmn;0.06,349.6,19.07,-19.07,0.0,349.60&plusmn;19.07,5135.0,44.0,-44.0,0.0,5135&plusmn;44,0.21,0.03,-0.03,0.0,0.21&plusmn;0.03,,,,,,0.9,,,0.0,0.9,,,,,,,,,,,,,,,,0.853,0.034,-0.034,0.0,0.853&plusmn;0.034,,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,Published Confirmed,1,2,0,0,1,3,1,0,0,0,1,138.7804107,0.1084296,-0.1084296,138.7804107&plusmn;0.1084296,-138.403,0.108603,-0.108603,-138.403000&plusmn;0.108603,10.228,0.069757,-0.069757,10.228000&plusmn;0.069757,47.4482,0.0637202,-0.0637202,47.4482000&plusmn;0.0637202,21.0628,0.0285,-0.0284,"<div><span class=supersubNumber"">21.0628</span><span class=""superscript"">+0.0285</span><span class=""subscript"">-0.0284</span></div>""",8.436,0.0,0.0,8.436&plusmn;0.000,7.56,0.03,-0.03,7.56&plusmn;0.03,6.025,0.019,-0.019,6.025&plusmn;0.019,5.623,0.047,-0.047,5.623&plusmn;0.047,5.475,0.017,-0.017
HD 12661 c,c,HD 12661,HD 12661,HIP 9683,TIC 118268680,Gaia DR2 105332908999068032,Gaia DR3 105332908999068032,1,<a refstr=LIU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014RAA....14.1447L/abstract target=ref>Liu et al. 2014</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2003-04,2002.0,Radial Velocity,Ground,Multiple Observatories,Multiple Instruments,Multiple Telescopes,<a refstr=FISCHER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...586.1394F/abstract target=ref> Fischer et al. 2003 </a>,31.1423525,02h04m34.16s,25.4135632,+25d24m48.83s,143.06278,-34.58321,37.77908,12.00084,1708.0,14.0,-14.0,0.0,1708.0&plusmn;14.0,,,,,,2.8145,0.0238,-0.0238,0.0,2.8145&plusmn;0.0238,,,,,,,,,,,0.031,0.022,-0.022,0.0,0.031&plusmn;0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.861&plusmn;0.024,,,,,,,,,,,,,,,,,5.794,0.139,-0.139,5.794&plusmn;0.139,5.732,0.049,-0.049,5.732&plusmn;0.049,5.846,0.015,-0.015,5.846&plusmn;0.015,5.783,0.044,-0.044,5.783&plusmn;0.044,,,,,7.24746,0.00037,-0.00037,7.24746&plusmn;0.00037,6.7944,0.006,-0.006,6.7944&plusmn;0.0060,0,,[Fe/H],,,,,,,,,,,,,,,,0.7730642309413499,0.4671218941202457,0.4291489611691648,-514195101,30.41,0.62,-0.62,0.0,30.41&plusmn;0.62,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-23,2014-11,<a refstr=LIU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014RAA....14.1447L/abstract target=ref>Liu et al. 2014</a>,2014-11-19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.812,0.048,-0.048,0.0,1.812&plusmn;0.048,575.884,15.255,-15.255,0.0,575.884&plusmn;15.255,Msini,1.812,0.048,-0.048,0.0,1.812&plusmn;0.048,575.884,15.255,-15.255,0.0,575.884&plusmn;15.255,5748.0,70.0,-70.0,0.0,5748&plusmn;70,0.36,0.03,-0.03,0.0,0.36&plusmn;0.03,,,,,,,,,,,0.063,0.063,-0.063,0.0,0.063&plusmn;0.063,,,,,,6.39,1.94,-1.94,0.0,6.39&plusmn;1.94,1.02,0.02,-0.02,0.0,1.02&plusmn;0.02,,,,,,1.11,0.08,-0.08,0.0,1.11&plusmn;0.08,0,0,0,1,1,0,0,0,0,0,Published Confirmed,1,2,0,0,1,8,3,0,0,0,1,204.3236427,0.0890284,-0.0890284,204.3236427&plusmn;0.0890284,-108.181,0.089332,-0.089332,-108.181000&plusmn;0.089332,-173.335,0.0889099,-0.0889099,-173.3350000&plusmn;0.0889099,26.3927,0.0437412,-0.0437412,26.3927000&plusmn;0.0437412,37.8478,0.0633,-0.063,"<div><span class=supersubNumber"">37.8478</span><span class=""superscript"">+0.0633</span><span class=""subscript"">-0.0630</span></div>""",8.156,0.023,-0.023,8.156&plusmn;0.023,7.43,0.03,-0.03,7.43&plusmn;0.03,6.182,0.019,-0.019,6.182&plusmn;0.019,5.896,0.021,-0.021,5.896&plusmn;0.021,5.861,0.024,-0.024
HD 27894 c,c,HD 27894,HD 27894,HIP 20277,TIC 396697266,Gaia DR2 4678605152248591488,Gaia DR3 4678605152248591488,1,<a refstr=TRIFONOV_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602L...8T/abstract target=ref>Trifonov et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2017-06,2017.0,Radial Velocity,Ground,La Silla Observatory,HARPS Spectrograph,3.6 m ESO Telescope,<a refstr=TRIFONOV_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602L...8T/abstract target=ref>Trifonov et al. 2017</a>,65.1975693,04h20m47.42s,-59.4096776,-59d24m34.84s,270.09987,-42.00943,20.87252,-76.79263,36.07,0.26,-0.09,0.0,"<div><span class=supersubNumber"">36.07</span><span class=""superscript"">+0.26</span><span class=""subscript"">-0.09</span></div>""",11.0,44.2,-7.5,0.0,"<div><span class=supersubNumber"">44.2</span><span class=""superscript"">+11.0</span><span class=""subscript"">-7.5</span></div>""",0.198,0.001,-0.001,0.0,0.198&plusmn;0.001,,,,,,,,,,,0.015,0.02,-0.002,0.0,"<div><span class=supersubNumber"">0.015</span><span class=""superscript"">+0.020</span><span class=""subscript"">-0.002</span></div>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.071&plusmn;0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06573,0.000244,-0.000244,9.065730&plusmn;0.000244,8.4643,0.006,-0.006,8.4643&plusmn;0.0060,0,,[Fe/H],K2 V,,,,,44.0,,,0.0,44,,,,,,0.2134770950732524,0.4619552934357362,-0.8608279948664475,1725638851,11.57,0.79,-2.89,0.0,"<div><span class=supersubNumber"">11.57</span><span class=""superscript"">+0.79</span><span class=""subscript"">-2.89</span></div>""",,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-13,2017-06,<a refstr=TRIFONOV_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602L...8T/abstract target=ref>Trifonov et al. 2017</a>,2017-06-15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162,0.011,-0.04,0.0,"<div><span class=supersubNumber"">0.162</span><span class=""superscript"">+0.011</span><span class=""subscript"">-0.040</span></div>""",51.48846,3.49613,-12.7132,0.0,"<div><span class=supersubNumber"">51.5</span><span class=""superscript"">+3.5</span><span class=""subscript"">-12.7</span></div>""",Msini,0.162,0.011,-0.04,0.0,"<div><span class=supersubNumber"">0.162</span><span class=""superscript"">+0.011</span><span class=""subscript"">-0.040</span></div>""",51.48846,3.49613,-12.7132,0.0,"<div><span class=supersubNumber"">51.5</span><span class=""superscript"">+3.5</span><span class=""subscript"">-12.7</span></div>""",,,,,,0.3,0.07,-0.07,0.0,0.30&plusmn;0.07,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.0,0.8,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,3,0,0,1,1,0,0,0,0,1,325.7145651,0.0763298,-0.0763298,325.7145651&plusmn;0.0763298,182.313,0.0532681,-0.0532681,182.3130000&plusmn;0.0532681,269.911,0.0847928,-0.0847928,269.9110000&plusmn;0.0847928,22.791,0.0306041,-0.0306041,22.7910000&plusmn;0.0306041,43.8214,0.0593,-0.0591,"<div><span class=supersubNumber"">43.8214</span><span class=""superscript"">+0.0593</span><span class=""subscript"">-0.0591</span></div>""",10.313,0.022,-0.022,10.313&plusmn;0.022,9.36,0.03,-0.03,9.36&plusmn;0.03,7.639,0.019,-0.019,7.639&plusmn;0.019,7.174,0.027,-0.027,7.174&plusmn;0.027,7.071,0.026,-0.026
TOI-4010 b,b,TOI-4010,,,TIC 352682207,Gaia DR2 525352325110310400,Gaia DR3 525352325110310400,1,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2023-07,2023.0,Transit,Space,Transiting Exoplanet Survey Satellite (TESS),TESS CCD Array,0.1 m TESS Telescope,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,20.2148196,01h20m51.56s,66.0722009,+66d04m19.92s,125.91346,3.37092,52.28095,51.52542,1.348335,3e-06,-2e-06,0.0,"<div><span class=supersubNumber"">1.348335</span><span class=""superscript"">+0.000003</span><span class=""subscript"">-0.000002</span></div>""",155.0,0.0,-149.0,0.0,"<div><span class=supersubNumber"">0.00</span><span class=""superscript"">+155.00</span><span class=""subscript"">-149.00</span></div>""",0.0229,0.0002,-0.0002,0.0,0.0229&plusmn;0.0002,88.1,1.2,-1.1,0.0,"<div><span class=supersubNumber"">88.1</span><span class=""superscript"">+1.2</span><span class=""subscript"">-1.1</span></div>""",,,,,,0.03,0.03,-0.02,0.0,"<div><span class=supersubNumber"">0.03</span><span class=""superscript"">+0.03</span><span class=""subscript"">-0.02</span></div>""",1441.0,14.0,-13.0,0.0,"<div><span class=supersubNumber"">1441</span><span class=""superscript"">+14</span><span class=""subscript"">-13</span></div>""",,,,,,714.0,28.0,-26.0,0.0,"<div><span class=supersubNumber"">714</span><span class=""superscript"">+28</span><span class=""subscript"">-26</span></div>""",2.2,0.3,-0.3,0.0,2.2&plusmn;0.3,,,,,,2459007.549,0.001,-0.001,0.0,2459007.549&plusmn;0.001,1.77,0.03,-0.03,0.0,1.77&plusmn;0.03,10.157&plusmn;0.021,,,,,,,,,,,,,,,,,10.045,0.023,-0.023,10.045&plusmn;0.023,10.137,0.021,-0.021,10.137&plusmn;0.021,9.927,0.053,-0.053,9.927&plusmn;0.053,8.663,0.38,-0.38,8.663&plusmn;0.380,,,,,12.1216,0.000207,-0.000207,12.121600&plusmn;0.000207,11.5163,0.0061,-0.0061,11.5163&plusmn;0.0061,0,BJD,[Fe/H],K V,,,,,37.7,15.0,-15.0,0.0,37.7&plusmn;15.0,,,,,,0.3806025710460936,0.1401462600653479,0.9140572786772168,-1102041226,6.9,0.8,-0.8,0.0,6.9&plusmn;0.8,0.26942682,0.00713713,-0.00713713,0.0,0.269&plusmn;0.007,3.02,0.08,-0.08,0.0,3.02&plusmn;0.08,0.033,0.001,-0.001,0.0,0.033&plusmn;0.001,,,,,,,,,,,2023-06-27,2023-07,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,2023-06-27,0,,,,,0.19,0.12,-0.13,0.0,"<div><span class=supersubNumber"">0.19</span><span class=""superscript"">+0.12</span><span class=""subscript"">-0.13</span></div>""",,,,,,,,,,,0.03460987,0.00405879,-0.00399587,0.0,"<div><span class=supersubNumber"">0.03461</span><span class=""superscript"">+0.00406</span><span class=""subscript"">-0.00400</span></div>""",11.0,1.29,-1.27,0.0,"<div><span class=supersubNumber"">11.00</span><span class=""superscript"">+1.29</span><span class=""subscript"">-1.27</span></div>""",0.03460987,0.00405879,-0.00399587,0.0,"<div><span class=supersubNumber"">0.03461</span><span class=""superscript"">+0.00406</span><span class=""subscript"">-0.00400</span></div>""",11.0,1.29,-1.27,0.0,"<div><span class=supersubNumber"">11.00</span><span class=""superscript"">+1.29</span><span class=""subscript"">-1.27</span></div>""",Mass,,,,,,,,,,,4960.0,36.0,-36.0,0.0,4960&plusmn;36,0.37,0.07,-0.07,0.0,0.37&plusmn;0.07,,,,,,1.3,0.5,-0.5,0.0,1.30&plusmn;0.50,,,,,,4.54,0.02,-0.02,0.0,4.54&plusmn;0.02,6.1,3.1,-3.1,0.0,6.1&plusmn;3.1,0.88,0.03,-0.03,0.0,0.88&plusmn;0.03,,,,,,0.83,0.01,-0.01,0.0,0.83&plusmn;0.01,0,0,1,1,0,0,0,0,0,0,Published Confirmed,1,4,0,0,0,0,0,0,0,0,0,43.662407,0.0396487,-0.0396487,43.6624070&plusmn;0.0396487,38.6159,0.0380062,-0.0380062,38.6159000&plusmn;0.0380062,-20.3769,0.0450566,-0.0450566,-20.3769000&plusmn;0.0450566,5.60499,0.0311275,-0.0311275,5.6049900&plusmn;0.0311275,177.504,0.994,-0.982,"<div><span class=supersubNumber"">177.504</span><span class=""superscript"">+0.994</span><span class=""subscript"">-0.982</span></div>""",13.381,0.026,-0.026,13.381&plusmn;0.026,12.291,0.069,-0.069,12.291&plusmn;0.069,10.649,0.027,-0.027,10.649&plusmn;0.027,10.25,0.031,-0.031,10.250&plusmn;0.031,10.157,0.021,-0.021
HD 12661 b,b,HD 12661,HD 12661,HIP 9683,TIC 118268680,Gaia DR2 105332908999068032,Gaia DR3 105332908999068032,1,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2001-04,2000.0,Radial Velocity,Ground,Multiple Observatories,Multiple Instruments,Multiple Telescopes,<a refstr=FISCHER_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...551.1107F/abstract target=ref> Fischer et al. 2001 </a>,31.1423525,02h04m34.16s,25.4135632,+25d24m48.83s,143.06278,-34.58321,37.77908,12.00084,262.70862,0.083,-0.083,0.0,262.70862&plusmn;0.08300,,,,,,0.84,0.02,-0.02,0.0,0.84&plusmn;0.02,,,,,,,,,,,0.38,0.01,-0.01,0.0,0.38&plusmn;0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.861&plusmn;0.024,,,,,,,,,,,,,,,,,5.794,0.139,-0.139,5.794&plusmn;0.139,5.732,0.049,-0.049,5.732&plusmn;0.049,5.846,0.015,-0.015,5.846&plusmn;0.015,5.783,0.044,-0.044,5.783&plusmn;0.044,,,,,7.24746,0.00037,-0.00037,7.24746&plusmn;0.00037,6.7944,0.006,-0.006,6.7944&plusmn;0.0060,0,,[Fe/H],,,,,,,,,,,,,,,,0.7730642309413499,0.4671218941202457,0.4291489611691648,-514195101,73.6,0.6,-0.6,0.0,73.6&plusmn;0.6,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-04,2017-03,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2018-09-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,0.14,-0.14,0.0,2.43&plusmn;0.14,772.3269,44.4962,-44.4962,0.0,772&plusmn;44,Msini,2.43,0.14,-0.14,0.0,2.43&plusmn;0.14,772.3269,44.4962,-44.4962,0.0,772&plusmn;44,5645.0,31.0,-31.0,0.0,5645&plusmn;31,0.36,,,0.0,0.36,,,,,,,,,,,,,,,,4.36,0.03,-0.03,0.0,4.36&plusmn;0.03,,,,,,1.2,0.1,-0.1,0.0,1.20&plusmn;0.10,,,,,,1.2,0.02,-0.02,0.0,1.20&plusmn;0.02,0,0,0,1,1,0,0,0,0,0,Published Confirmed,1,2,0,0,1,8,3,0,0,0,1,204.3236427,0.0890284,-0.0890284,204.3236427&plusmn;0.0890284,-108.181,0.089332,-0.089332,-108.181000&plusmn;0.089332,-173.335,0.0889099,-0.0889099,-173.3350000&plusmn;0.0889099,26.3927,0.0437412,-0.0437412,26.3927000&plusmn;0.0437412,37.8478,0.0633,-0.063,"<div><span class=supersubNumber"">37.8478</span><span class=""superscript"">+0.0633</span><span class=""subscript"">-0.0630</span></div>""",8.156,0.023,-0.023,8.156&plusmn;0.023,7.43,0.03,-0.03,7.43&plusmn;0.03,6.182,0.019,-0.019,6.182&plusmn;0.019,5.896,0.021,-0.021,5.896&plusmn;0.021,5.861,0.024,-0.024
HD 68988 b,b,HD 68988,HD 68988,HIP 40687,TIC 73312938,Gaia DR2 1090159839002347136,Gaia DR3 1090159839002347136,1,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2002-03,2001.0,Radial Velocity,Ground,Multiple Observatories,Multiple Instruments,Multiple Telescopes,<a refstr=VOGT_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJ...568..352V/abstract target=ref> Vogt et al. 2002 </a>,124.5935429,08h18m22.45s,61.4608518,+61d27m39.07s,155.26292,33.91958,110.8974,40.50824,6.27711,0.00021,-0.00021,0.0,6.27711&plusmn;0.00021,,,,,,0.07,0.0,0.0,0.0,0.070&plusmn;0.000,,,,,,,,,,,0.12,0.01,-0.01,0.0,0.12&plusmn;0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.743&plusmn;0.024,,,,,,,,,,,,,,,,,6.715,0.072,-0.072,6.715&plusmn;0.072,6.71,0.022,-0.022,6.710&plusmn;0.022,6.756,0.015,-0.015,6.756&plusmn;0.015,6.708,0.067,-0.067,6.708&plusmn;0.067,,,,,8.04611,0.000385,-0.000385,8.046110&plusmn;0.000385,7.6263,0.006,-0.006,7.6263&plusmn;0.0060,0,,[Fe/H],,,,,,,,,,,,,,,,-0.2712482031059496,0.3932914734967586,0.8784908816752408,-286599229,184.7,3.7,-3.7,0.0,184.7&plusmn;3.7,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-04,2017-03,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2018-09-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,0.1,-0.1,0.0,1.97&plusmn;0.10,626.1251,31.783,-31.783,0.0,626&plusmn;32,Msini,1.97,0.1,-0.1,0.0,1.97&plusmn;0.10,626.1251,31.783,-31.783,0.0,626&plusmn;32,5932.0,23.0,-23.0,0.0,5932&plusmn;23,0.35,,,0.0,0.35,,,,,,,,,,,,,,,,4.4,0.03,-0.03,0.0,4.40&plusmn;0.03,,,,,,1.28,0.09,-0.09,0.0,1.28&plusmn;0.09,,,,,,1.19,0.02,-0.02,0.0,1.19&plusmn;0.02,0,0,0,1,1,0,0,0,0,0,Published Confirmed,1,2,0,0,2,3,2,0,0,0,0,131.8506008,0.0725237,-0.0725237,131.8506008&plusmn;0.0725237,128.329,0.0732021,-0.0732021,128.3290000&plusmn;0.0732021,30.2696,0.0590152,-0.0590152,30.2696000&plusmn;0.0590152,16.4066,0.0512603,-0.0512603,16.4066000&plusmn;0.0512603,60.8447,0.1918,-0.1906,"<div><span class=supersubNumber"">60.8447</span><span class=""superscript"">+0.1918</span><span class=""subscript"">-0.1906</span></div>""",8.838,0.025,-0.025,8.838&plusmn;0.025,8.2,0.03,-0.03,8.20&plusmn;0.03,7.06,0.021,-0.021,7.060&plusmn;0.021,6.812,0.02,-0.02,6.812&plusmn;0.020,6.743,0.024,-0.024
