main_id,sp_type,rvz_radvel,rvz_type,query_id
HD 167677,G5V,-57.319,v,HD 167677
HD 167768,G8III,1.6237,v,HD 167768
HD 168009,G1V,-64.597,v,HD 168009
HD 168443,G6V,-48.287,v,HD 168443
HD 168746,G5V,-25.606,v,HD 168746
HD 168863,K2/3(III),19.879,v,HD 168863
HD   1690,K1(III),18.216,v,HD   1690
HD  16905,K3V,64.64,v,HD  16905
HD 169142,F1VekA3mA3_lB?,,,HD 169142
HD 169830,F7V,-17.271,v,HD 169830
HD 170469,G5,-59.32,v,HD 170469
HD  17092,K2III,5.49,v,HD  17092
HD 171028,G0,13.576,v,HD 171028
HD 171238,G8V,21.11,v,HD 171238
HD  17156,F9V,-3.384,v,HD  17156
HD 173416,G8,-61.17,v,HD 173416
HD 174205,K2,-5.1,v,HD 174205
HD 175167,G5IV/V,4.81,v,HD 175167
HD 175541,G6/8IV,19.758,v,HD 175541
HD 175607,G6V,-91.959,v,HD 175607
HD  17674,G0V,10.542,v,HD  17674
HD 176986,K2.5V,37.672,v,HD 176986
HD 177565,G6V,60.095,v,HD 177565
HD 177830,K0+M4V,-72.147,v,HD 177830
HD 178911B,G5,-40.324,v,HD 178911B
HD 179079,G5IV,19.548,v,HD 179079
HD 179949,F8V,-24.619,v,HD 179949
HD 180053,K0,-5.72,v,HD 180053
HD  18015,G6IV,18.88,v,HD  18015
HD 180314,K0,-73.19,v,HD 180314
HD 180617,M3-V,35.884,v,HD 180617
HD 180902,K0III/IV,-3.16,v,HD 180902
HD 181234,G8IV,-46.652,v,HD 181234
HD 181342,K0III,-0.7,v,HD 181342
HD  18143A,K2IV,32.06,v,HD  18143
HD 181433,K3III-IV,40.144,v,HD 181433
HD 181720,G1V,-45.404,v,HD 181720
HD 183263,G6IV,-50.377,v,HD 183263
HD 183579,G5V,-15.8,v,HD 183579
HD 184010,K0III-IV,5.83,v,HD 184010
HD  18438,M2.5III,-40.2,v,HD  18438
HD 185269,G2V,0.58,v,HD 185269
HD 185283,K3V,51.724,v,HD 185283
HD  18599,K2Vk:,-0.48,v,HD  18599
HD 187085,G0V,15.38,v,HD 187085
HD 187123,G2V,-17.046,v,HD 187123
HD  18742,G8/K0IV,-13.49,v,HD  18742
HD 188015,G5IV,0.28,v,HD 188015
HD 188641,G2V,-34.544,v,HD 188641
HD 189567,G2V,-10.548,v,HD 189567
HD 189733,K2V,-2.317,v,HD 189733
HD 190007,K5V,-30.268,v,HD 190007
HD 190228,G5IV,-50.11,v,HD 190228
HD 190360,G7IV-V,-45.254,v,HD 190360
HD 190647,G5V,-40.324,v,HD 190647
HD 190984,F8V,20.228,v,HD 190984
HD 191806,K0,-15.451,v,HD 191806
HD 191939,G0,-9.266,v,HD 191939
HD 192263,K1/2V,-10.87,v,HD 192263
HD 192310,K2+V,-54.293,v,HD 192310
HD 192699,G8IV,13.2,v,HD 192699
HD 194490,G2/3V,-10.177,v,HD 194490
HD 195019,G1V,-91.29,v,HD 195019
HD 196050,G3V,61.37,v,HD 196050
* mu.02 Oct,G0V,-10.802,v,HD 196067
HD  19615,K0,-34.58,v,HD  19615
HD 196885,F8V,-30.8,v,HD 196885A
HD 197037,G0,9.09,v,HD 197037
HD 199509,G1V,-22.23,v,HD 199509
*  94 Cet,F8.5V,19.389,v,HD  19994
HD  20003,G8V,-16.174,v,HD  20003
HD 200964,G8IV,-72.63,v,HD 200964
HD 202206,G6V,14.68,v,HD 202206
HD 202696,K0III-IV,-34.45,v,HD 202696
HD 202772A,,-17.71,v,HD 202772A
HD 203030,K0V,-16.651,v,HD 203030
HD  20329,G5,-71.629,v,HD  20329
* iot Cap,G7IIIFe-1.5,12.271,v,HD 203387
HD   2039,G2/3IV/V,8.43,v,HD   2039
HD 204313,G5V,-9.821,v,HD 204313
HD 204941,K2V,32.569,v,HD 204941
HD 205158,G0V,13.66,v,HD 205158
HD 205739,F7V,8.92,v,HD 205739
HD 206255,G5IV/V,-3.729,v,HD 206255
HD 206610,K0III,-18.31,v,HD 206610
HD 206893,F5V,-12.45,v,HD 206893
HD 207496,K2.5Vk:,-11.84,v,HD 207496
HD  20781,G9.5V,40.368,v,HD  20781
HD  20782,G1.5V,39.902,v,HD  20782
HD 207832,G5V,-16.627,v,HD 207832
HD 207897,K3,-6.366,v,HD 207897
* e Eri,G6V,87.882,v,HD  20794
HD 208487,G1/3(V),5.575,v,HD 208487
HD 208527,K5V,4.92977,v,HD 208527
HD  20868,K3/4III/V,46.207,v,HD  20868
HD 208897,K0,-14.3692,v,HD 208897
HD 209458,F9V,-14.743,v,HD 209458
HD 210193,G3V,4.131,v,HD 210193
HD 210277,G8V,-20.855,v,HD 210277
HD 210702,K0III,16.39,v,HD 210702
HD 211403,G0,-9.223,v,HD 211403
HD 211810,G5,-36.504,v,HD 211810
HD 211970,K7Vk:,-5.439,v,HD 211970
HD 212301,F8V,4.654,v,HD 212301
HD 212771,G8IV,14.99,v,HD 212771
HD 213240,G0/1V,-0.52,v,HD 213240
HD 213472,G5,16.974,v,HD 213472
HD 213519,G5,-31.76,v,HD 213519
HD 213885,G0/2V,36.22,v,HD 213885
HD  21411,G8V,17.803,v,HD  21411
HD 214823,G0,-44.544,v,HD 214823
HD 215152,K3V,-13.753,v,HD 215152
HD  21520,G2/3V,-16.46,v,HD  21520
HD 215497,K3V,49.235,v,HD 215497
* tau01 Gru,G0V,-1.054,v,HD 216435
* rho Ind,G1VFe+0.3,-2.05,v,HD 216437
HD 216520,K0V,-18.573,v,HD 216520
HD 216536,K0,-17.17,v,HD 216536
HD 216770,G9VCN+1,31.141,v,HD 216770
HD  21693,G9IV-V,39.701,v,HD  21693
HD 217107,G8IV-V,-13.148,v,HD 217107
HD 217786,F8V,9.928,v,HD 217786
HD 217958,G3V,27.81,v,HD 217958
HD 218566,K3V,-37.8,v,HD 218566
HD 219077,G8V+,-31.01,v,HD 219077
HD 219134,K3V,-18.475,v,HD 219134
HD 219139,G5III:,17.24,v,HD 219139
HD 219415,K,-84.23,v,HD 219415
HD 219666,G5V,-19.96,v,HD 219666
HD 219828,G0IV,-24.21,v,HD 219828
HD 220074,K5,-37.09,v,HD 220074
HD 220197,G5,-40.17,v,HD 220197
HD 220689,G3V,12.28,v,HD 220689
HD 220773,G0,-37.735,v,HD 220773
HD 220842,F8,-22.627,v,HD 220842
HD 221287,F7V,-21.958,v,HD 221287
HD 221416,K0IV/V,25.29,v,HD 221416
HD 221420,G2IV-V,26.504,v,HD 221420
HD 221585,G8IV,6.353,v,HD 221585
HD 222076,K1III,25.67,v,HD 222076
HD 222155,G0,-43.979,v,HD 222155
HD 222237,K3+V,69.779,v,HD 222237
HD 222582,G5V,12.02,v,HD 222582
HD 224018,G5V,-62.77,v,HD 224018
HD 224538,F8/G0IV/V,-10.71,v,HD 224538
HD 224693,G2V,1.373,v,HD 224693
HD  22496,K5V,21.4,v,HD  22496
HD  22532,G8III/IV,29.24,v,HD  22532
HD  22781,K0,8.26,v,HD  22781
HD  22946,F7/8V,16.91,v,HD  22946
HD  23079,F9.5V,0.648,v,HD  23079
HD  23127,G2V,19.17,v,HD  23127
HD 231701,F8V,-63.36,v,HD 231701
HD 233604,K5,-73.75,v,HD 233604
HD 233832,K2,-65.448502,v,HD 233832
HD  23472,K3.5V,34.462,v,HD  23472
HD 235088,G5,-27.246,v,HD 235088
HD  23596,F8,-10.135,v,HD  23596
HD 238090,K5V,-17.08,v,HD 238090
HD 238914,K7,-8.21,v,HD 238914
HD 240210,K7,8.57,v,HD 240210
HD 240237,K2III,-24.82,v,HD 240237
HD  24040,G1,-9.341,v,HD  24040
HD  24064,K0,-45.28,v,HD  24064
HD  24085,G0V,27.733,v,HD  24085
HD  25015,K2Vk:Fe-0.5,28.15,v,HD  25015
HD  25171,F8V,43.575,v,HD  25171
HD  25463,F8,27.912,v,HD  25463
HD  25723,K1III,26.75,v,HD  25723
HD  25912,G3/5V,6.203,v,HD  25912
HD 260655,M0.0V,-58.321,v,HD 260655
HD  26161,G0,12.92,v,HD  26161
HD   2638,K1V,9.576,v,HD   2638
HD   2685,F2III/IV,3.64,v,HD   2685
* eps Ret,K2III,29.03,v,HD  27442
HD  27631,G3IV/V,21.084,v,HD  27631
HD  27894,K2V,82.785,v,HD  27894
HD  27969,G5,47.27,v,HD  27969
HD  28109,F8/G0V,2.58,v,HD  28109
HD  28185,G6.5IV-V,50.323,v,HD  28185
HD  28192,G0V,-4.012,v,HD  28192
HD  28254,G5V,-9.395,v,HD  28254
HD  28471,G5V,54.764,v,HD  28471
HD 285507,K4,38.1161,v,HD 285507
HD 285968,M2.5V,26.236,v,HD 285968
HD  28678,G8IV,61.77,v,HD  28678
HD  29021,G5,0.435,v,HD  29021
HD 290327,G0,29.476,v,HD 290327
HD  29399,K1III,31.79,v,HD  29399
HD   2952,K0III,-34.86,v,HD   2952
HD  29985,K6V,52.231,v,HD  29985
HD  30177,G8V,62.697,v,HD  30177
HD  30562,G2IV,77.24,v,HD  30562
HD  30669,G8/K0V,65.808,v,HD  30669
HD 307842,G5,15.06,v,HD 307842
HD  30856,K0III,35.71,v,HD  30856
HD  31253,F8,12.151,v,HD  31253
HD  31527,G0V,25.67,v,HD  31527
HD   3167,K0V,19.456,v,HD   3167
HD  32518,K1III,-6.57931,v,HD  32518
HD  32963,G3V,-62.4,v,HD  32963
HD 330075,G5,61.204,v,HD 330075
HD 331093,K0,-51.325,v,HD 331093
HD  33142,K0III,33.980499,v,HD  33142
HD 332231,F8,-23.17,v,HD 332231
HD  33283,G3/5V,4.692,v,HD  33283
HD  33564,F7V,-10.934,v,HD  33564
HD  33844,K0III,36.49,v,HD  33844
HD  34445,G0,-78.961,v,HD  34445
HD  35759,G0,-12.62,v,HD  35759
HD  35843,G5V,13.3,v,HD  35843
HD    360,K1II,54.595,v,HD    360
HD  36384,M0III,-4.97,v,HD  36384
*  54 Psc,K0.5V,-32.898,v,HD   3651
HD  37124,G4IV-V,-23.022,v,HD  37124
HD  37605,K0,-21.81,v,HD  37605
HD   3765,K2V,-63.15,v,HD   3765
HD  38283,F9.5V,61.4,v,HD  38283
HD  38529,G8III/IV,30.24,v,HD  38529
HD  38801,G8IV,-24.968901,v,HD  38801
* pi. Men,G0V,10.595,v,HD  39091
HD  39194,K0V,14.1,v,HD  39194
HD  39855,G8VFe-0.7,42.58,v,HD  39855
HD  40307,K2.5V,31.265,v,HD  40307
HD  40956,K0,-15.28,v,HD  40956
HD  40979,F8,32.47,v,HD  40979
HD  41004,K1IV,42.5,v,HD  41004A
HD  41004B,M,,,HD  41004B
HD   4113,G5V,5.13,v,HD   4113
HD  42012,K0,41.353,v,HD  42012
HD   4203,G6V,-14.06,v,HD   4203
HD   4208,G7VFe-1CH-0.5,56.74,v,HD   4208
HD  42618,G4V,-53.478,v,HD  42618
HD   4308,G6VFe-0.9,95.187,v,HD   4308
HD   4313,G5,14.56,v,HD   4313
HD  43197,G8/K0IV/V,72.45,v,HD  43197
HD  43691,G0IV,-29.035,v,HD  43691
HD  44219,G3V,-12.139,v,HD  44219
HD  45184,G2Va,-3.828,v,HD  45184
HD  45350,G5,-20.669,v,HD  45350
HD  45364,G8V,16.392,v,HD  45364
HD  45652,K5,-5.04,v,HD  45652
HD    457,G0V,-19.38,v,HD    457
HD  46375,G9V,-0.979,v,HD  46375
HD  47186,G6V,4.238,v,HD  47186
HD   4732,K0III,25.0,v,HD   4732
HD  47366,K1(III),9.12,v,HD  47366
HD  47536,K1III,79.71,v,HD  47536
HD   4760,K2,-67.79,v,HD   4760
HD  48265,G5IV/V,23.357,v,HD  48265
HD  48948,K3V,-52.061,v,HD  48948
HD   4917,K0III/IV,-11.3,v,HD   4917
HD  49674,G3V,12.066,v,HD  49674
HD  50499,G0/2V,36.791,v,HD  50499
HD  50554,F8V,-3.798,v,HD  50554
HD  51608,K0IV-V,39.909,v,HD  51608
HD  52265,G0V,53.838,v,HD  52265
HD   5278,F7V,-30.3,v,HD   5278
HD   5319,K0III,0.45,v,HD   5319
HD  55696,G0V,19.72,v,HD  55696
HD   5583,K0,11.88,v,HD   5583
HD   5608,K0III,-22.8,v,HD   5608
HD    564,G2/3V,11.396,v,HD    564
HD  56414,A1mA3-A7,,,HD  56414
HD  56957,G3V,54.56,v,HD  56957
HD   5891,G5,-96.16,v,HD   5891
HD  60292,K0,-12.7,v,HD  60292
HD  60532,F6IV-V,61.042,v,HD  60532
HD   6061,G0,10.14,v,HD   6061
HD  62364,F7V,35.392,v,HD  62364
* bet Gem,K0IIIb,3.391,v,HD  62509
HD  62549,G2/3V,83.613,v,HD  62549
HD  63433,G5V,-15.856,v,HD  63433
HD  63454,K3Vk:,33.753,v,HD  63454
HD  63765,G9V,22.549,v,HD  63765
HD  63935,G5,-20.267,v,HD  63935
HD  64114,G7V,53.178,v,HD  64114
HD  64121,G8/K0III,-3.72,v,HD  64121
HD   6434,G2/3V,22.92,v,HD   6434
HD  65216,G5V,42.647,v,HD  65216
* G CMi,K2IIIbFe-0.5:,71.905899,v,HD  66141
HD  66428,G8IV(+G),44.132,v,HD  66428
HD  67087,F8V,0.62,v,HD  67087
HD  68402,G5IV/V,11.6,v,HD  68402
HD  68475,K2V,27.2,v,HD  68475
* bet And,M0+IIIa,0.608782,v,HD   6860
HD  68988,G1V,-69.23,v,HD  68988
HD  69123,K1III,27.64,v,HD  69123
HD  69830,G8:V,30.115,v,HD  69830
V* V478 Hya,G1/2V,20.46,v,HD  70573
HD  70642,G6VCN+0.5,49.396,v,HD  70642
HD   7199,K1IV,5.632,v,HD   7199
HD  72490,G5,31.82,v,HD  72490
HD  72659,G2V,-18.222,v,HD  72659
HD  72892,G5V,-38.64,v,HD  72892
V* CS Pyx,G8IV-VFe+0.5,29.748,v,HD  73256
HD  73267,K0V,51.836,v,HD  73267
HD  73344,F6V,6.215,v,HD  73344
HD  73526,G6V,26.38,v,HD  73526
HD  73534,G5,10.08,v,HD  73534
HD  73583,K4+Vk:,20.678,v,HD  73583
HD  74156,G1V,3.838,v,HD  74156
HD   7449,F9.5V,-19.824,v,HD   7449
HD  74698,G5V,38.751,v,HD  74698
HD  75289,F9VFe+0.3,9.292,v,HD  75289
HD  75302,G5V,10.224,v,HD  75302
HD  75784,G5,45.8055,v,HD  75784
HD  75898,G0,21.695,v,HD  75898
HD  76700,G6V,38.01,v,HD  76700
HD  76920,K1III,20.09,v,HD  76920
HD  77338,K0IV,8.015,v,HD  77338
HD  77946,F5,42.64,v,HD  77946
HD  79181,G8III,1.1,v,HD  79181
HD   7924,K0.5V,-22.624,v,HD   7924
HD  79498,G5,19.881,v,HD  79498
HD  80606,G8V,3.965,v,HD  80606
HD  80653,G2,8.49,v,HD  80653
HD  80869,G5,-18.207,v,HD  80869
HD  80883,K0.5V,-5.369,v,HD  80883
HD  80913,F6V,-58.332,v,HD  80913
HD  81040,G0V,49.27,v,HD  81040
*  41 Lyn,K0III,38.57,v,HD  81688
HD  81817,K3II-III,-6.98,v,HD  81817
HD  82886,G0,12.73,v,HD  82886
HD  82943,F9VFe+0.5,8.102,v,HD  82943
HD   8326,K2V,21.113,v,HD   8326
HD  83443,K0/1V+G(III),29.028,v,HD  83443
HD   8535,G0V,2.393,v,HD   8535
HD  85390,K1.5V,33.016,v,HD  85390
HD   8574,F8,18.84,v,HD   8574
HD  86065,K2.5V,55.074,v,HD  86065
HD  86081,G1V,30.774,v,HD  86081
HD  86226,G2V,19.711,v,HD  86226
HD  86264,F7V,7.66,v,HD  86264
*  20 LMi,G3VaHdel1,57.525799,v,HD  86728
HD   8673,F7V,19.2,v,HD   8673
HD  86950,K1III,10.75,v,HD  86950
HD  87646,G2V,20.948,v,HD  87646
HD  87816,K1III,5.81,v,HD  87816
HD  87883,K0V,9.32,v,HD  87883
HD  88072,G3V,-17.846,v,HD  88072
HD  88133,G8V,-3.48,v,HD  88133
*  24 LMi,G2V,29.028,v,HD  88986
HD  89307,G0V,23.075,v,HD  89307
HD  89345,G5,2.9428,v,HD  89345
HD  89744,F7V,-5.3,v,HD  89744
HD  89839,F7V,31.708,v,HD  89839
HD  90156,G5V,26.958,v,HD  90156
HD   9174,G8IV,23.25,v,HD   9174
HD  92788,G6V,-4.455,v,HD  92788
HD  93083,K2IV-V,43.59,v,HD  93083
HD  93351,G6V,33.067,v,HD  93351
HD  93385,G2/3V,47.51,v,HD  93385
HD  93963,G5,,,HD  93963A
HD   9446,G5V,21.669,v,HD   9446
HD  94771,G3/G5V,21.051,v,HD  94771
HD  94834,K0,2.91,v,HD  94834
* iot Ant,K0III,2.3,v,HD  94890
HD  95086,A8III,10.1,v,HD  95086
HD  95089,G8/K0IV,8.44,v,HD  95089
HD  95127,K0,-17.96,v,HD  95127
HD  95338,K0.5V,96.609,v,HD  95338
HD  95544,G0,9.645,v,HD  95544
HD  95872,K0V,1.72,v,HD  95872
HD  96063,G6V,-1.18,v,HD  96063
HD  96127,K2III,-37.17,v,HD  96127
HD  96167,G3V,12.05,v,HD  96167
HD  96700,G1VFe-0.5,12.79,v,HD  96700
HD  96992,K0,-36.78,v,HD  96992
HD  97037,G1V,-15.752,v,HD  97037
HD  97048,A0Vep,34.0,v,HD  97048
HD  97658,K1V,-1.579,v,HD  97658
HD  98219,K0III/IV,-10.3,v,HD  98219
HD  98649,G3/5V,4.33,v,HD  98649
HD  98736,K0,-3.37,v,HD  98736
HD  99109,G8/K0IV,33.06,v,HD  99109
HD  99283,K0III,-6.21,v,HD  99283
*  83 Leo B,K3,3.59,v,HD  99492
HD  99706,K0,-30.07,v,HD  99706
HD 203949,K2III,-77.9,v,HIP 105854
CD-41 14656,M0V,-9.138,v,HIP 107772
HD 207229,K0III,-0.17,v,HIP 107773
BD+70  1218,G5,-63.75,v,HIP 109384
BD+28  4312,G5,-70.078,v,HIP 109600
HD 214573,K1III,-3.72,v,HIP 111909
HD 216530,K3V,14.2,v,HIP 113103
HD 219553,K0III,3.84,v,HIP 114933
BD-00  4534,K0,-3.216,v,HIP 116454
CD-23  1056,K5V,32.865,v,HIP 12961
BD+20   518,G6V,-4.75,v,HIP 14810
HD  25069,K0/1III,38.44,v,HIP 18606
CD-41  1354,M0,41.77,v,HIP 19976
HD  28736,F5V,39.5813,v,HIP 21152
BD+27  1311,K7V,-21.6,v,HIP 34222
BD-03  1821,K2V,10.23,v,HIP 35173
CD-51  2481,K0,63.924,v,HIP 35965
CD-24  6144,M0,63.771,v,HIP 38594
V* V769 Mon,A9/F0IV,-6.55,v,HIP 39017
BD+10  1799,F6,50.42,v,HIP 41378
BD-11   192,M0V,8.912,v,HIP 4845
BD+63   869,M0.5V,15.41,v,HIP 48714
CD-23   395,K5,15.28,v,HIP 5158
BD-18  3106,K5V,-3.95,v,HIP 54373
*  66 Leo,A5II/III,,,HIP 54515
CD-28  8692,K5V,51.675,v,HIP 54597
BD+47  1863,K6V+M7.5,-5.74,v,HIP 55507
HD 100939,K1III,72.96,v,HIP 56640
HD 101581,K4.5Vk:,13.736,v,HIP 56998
BD+31  2290,K4V,29.88,v,HIP 57274
BD+15   176,K6V,25.61,v,HIP 5763
HD 112410,G8III,72.82,v,HIP 63242
BD+49  2212,G8,-8.766,v,HIP 65407
HD 116434,A2V,3.1,v,HIP 65426
HD 117253,K0III,1.43,v,HIP 65891
BD+75   510,M0V,-30.79,v,HIP 66074
HD 120411,G0V,5.4,v,HIP 67522
HD 120457,K1III,-3.08,v,HIP 67537
HD 121056,K0III,5.58,v,HIP 67851
CD-45  9206,K7Vk,-0.134,v,HIP 70849
CD-52  6163,M1,71.08,v,HIP 71135
HD 135760,K1IIICNII,0.21,v,HIP 74890
HD 136295,K0III,-13.97,v,HIP 75092
HD 142250,B7V,-9.57575,v,HIP 77900
HD 143567,B9Van,-35.4552,v,HIP 78530
LP  804-27,M3V,-4.656,v,HIP 79431
HD 149274C,,,,HIP 81208C
BD-19   302,G5,41.26,v,HIP 8152
HD  11343,K2III/IV,6.61,v,HIP 8541
BD+27  2853,K5,-42.55,v,HIP 86221
HD 170707,K1III,35.68,v,HIP 90988
BD+61  1762,G5,-9.587,v,HIP 91258
HD 178085,G1V,9.34,v,HIP 94235
CD-39    31,K5V,-18.376,v,HIP 948
HD  12572,G5,-15.933,v,HIP 9618
BD+73   878,K0,-2.16,v,HIP 97166
HD 186641,K0/1III,-63.46,v,HIP 97233
* b03 Cyg,A2V,-17.3,v,HIP 99770
HD  50571,F5VFe+0.4,26.69,v,HR  2562
HD 120066,G0V,-30.534,v,HR  5183
* iot Hor,F8V,16.934,v,HR   810
HD  17926,F6V,10.07,v,HR   858
HD 218396,F0+VkA5mA5,-10.41,v,HR  8799
IRAS 04125+2902,M0,17.0612,v,IRAS 04125+2902
[GY92] 193,K6-M1,-7.0107,v,ISO-Oph  96
IRAS F04366+2555,M5,17.6929,v,ITG 15A
K2-10,F9,9.75,v,K2-10
K2-100,G2,35.0386,v,K2-100
K2-101,K3V,34.439999,v,K2-101
K2-102,K3V,35.1184,v,K2-102
K2-104,M1V,35.7399,v,K2-104
K2-105,K1,-32.26,v,K2-105
K2-107,,-8.364,v,K2-107
K2-108,,31.009001,v,K2-108
K2-11,G9,31.889321,v,K2-11
K2-110,K2V,-22.040001,v,K2-110
K2-111,,-15.8862,v,K2-111
K2-113,F9,-40.7727,v,K2-113
K2-114,,56.3739,v,K2-114
K2-115,G4,-14.8413,v,K2-115
BD-12  6259,K7V,-18.482201,v,K2-116
K2-117,M1.0V,1.0298,v,K2-117
K2-118,K3V,-30.5118,v,K2-118
K2-119,K5V,-43.53,v,K2-119
K2-12,G3,17.12,v,K2-12
K2-121,K5V,30.268299,v,K2-121
K2-122,M0V,-14.35,v,K2-122
K2-123,M0V,24.32,v,K2-123
K2-124,M3V,1.36,v,K2-124
K2-125,M2V,-19.0,v,K2-125
K2-126,K7V,0.5866,v,K2-126
K2-127,K3V,-60.0,v,K2-127
K2-128,K4V,-12.401,v,K2-128
LP  868-19,M3V,-24.1,v,K2-129
K2-13,G4,16.2068,v,K2-13
K2-130,K5V,-51.328999,v,K2-130
K2-131,,-7.093,v,K2-131
K2-132,,10.069,v,K2-132
LP  358-499,M2V,96.89,v,K2-133
K2-136,K5.5V,39.521,v,K2-136
K2-137,M3V,,,K2-137
K2-138,,1.17,v,K2-138
K2-139,K0V,-30.51,v,K2-139
K2-14,M0V,6.6,v,K2-14
K2-140,G5,1.4023,v,K2-140
StKM 1-2122,K7V,-3.2181,v,K2-141
K2-146,M3.0V,40.6,v,K2-146
K2-147,,-24.15,v,K2-147
2MASS J00580427-0011353,K7V,0.6705,v,K2-148
2MASS J00391724+0716375,M1.0V,,,K2-149
K2-15,K3V,-9.94,v,K2-15
K2-150,M2.5V,4.8617,v,K2-150
K2-151,M1.5V,-47.3742,v,K2-151
K2-152,M0.0V,-8.151044,v,K2-152
K2-153,M3.0V,53.09,v,K2-153
K2-154,M0.0V,14.3,v,K2-154
LP  415-17,K6V,18.94271,v,K2-155
K2-156,K5V,-6.79,v,K2-156
K2-157,,43.9,v,K2-157
K2-158,,-37.305,v,K2-158
K2-159,G5,16.9201,v,K2-159
K2-16,K3V,1.774936,v,K2-16
K2-160,,-10.34,v,K2-160
K2-161,K1III,-19.13,v,K2-161
K2-162,K5V,-30.7,v,K2-162
K2-163,K3V,21.776501,v,K2-163
K2-164,F2,-22.47,v,K2-164
K2-165,K0V,-0.864,v,K2-165
K2-166,G0,-9.51,v,K2-166
HD 212657,F7V,-16.9681,v,K2-167
K2-168,,-10.1737,v,K2-168
K2-169,,-8.0707,v,K2-169
K2-17,K5V,-12.7204,v,K2-17
K2-170,,-5.50951,v,K2-170
K2-171,,-12.5729,v,K2-171
K2-172,,22.168301,v,K2-172
K2-173,G2,102.332001,v,K2-173
K2-174,K7V,-0.577503,v,K2-174
BD+17   561,G2,-32.58,v,K2-175
K2-176,G8,-27.3,v,K2-176
K2-177,G3,19.316999,v,K2-177
K2-178,,0.435,v,K2-178
K2-179,K3,-2.16544,v,K2-179
K2-18,dM2.5,0.328,v,K2-18
K2-180,,-78.62,v,K2-180
K2-181,G5,-61.0075,v,K2-181
K2-182,G9,23.2626,v,K2-182
K2-183,G7,91.8191,v,K2-183
BD+14  1931,G8,-32.9314,v,K2-184
K2-185,,-6.836,v,K2-185
K2-186,G3,-13.7,v,K2-186
K2-187,K0,-7.74,v,K2-187
K2-188,G2,-33.746601,v,K2-188
K2-189,,15.96,v,K2-189
K2-19,G7,7.369,v,K2-19
K2-190,,-10.64,v,K2-190
2MASS J13263339-1248235,,-8.8542,v,K2-191
K2-192,,0.95,v,K2-192
K2-193,,-20.85,v,K2-193
K2-194,,-8.345,v,K2-194
K2-195,G3,-14.41,v,K2-195
K2-196,F9,-28.27,v,K2-196
K2-197,,-7.88,v,K2-197
K2-198,G9,2.07,v,K2-198
K2-199,K5V,-0.591,v,K2-199
K2-200,K1,-15.714,v,K2-200
K2-201,,,,K2-201
K2-202,,25.028999,v,K2-202
K2-203,,19.5709,v,K2-203
K2-204,,-51.458,v,K2-204
K2-205,G0,17.9492,v,K2-205
K2-206,,27.5297,v,K2-206
K2-207,,-3.1383,v,K2-207
K2-208,,9.83613,v,K2-208
BD+00   153,K2V,-26.2,v,K2-209
K2-21,M0V,4.5656,v,K2-21
K2-210,G8,0.09,v,K2-210
K2-211,K0V,-13.57,v,K2-211
K2-212,K7V,-6.84,v,K2-212
K2-213,G3,-6.373,v,K2-213
K2-214,F2,-16.9734,v,K2-214
K2-215,,14.7092,v,K2-215
K2-216,K3V,-26.1496,v,K2-216
K2-217,,-5.95,v,K2-217
K2-218,F9,0.1491,v,K2-218
K2-219,G3,-19.96,v,K2-219
K2-22,K7V,-25.37,v,K2-22
K2-220,,13.8281,v,K2-220
K2-221,G4,7.5689,v,K2-221
BD+10   125,G0,1.48,v,K2-222
K2-223,,9.4,v,K2-223
K2-224,,-17.66,v,K2-224
K2-225,G7,42.1,v,K2-225
K2-226,,16.434,v,K2-226
K2-227,,2.75605,v,K2-227
K2-228,K5,-2.86,v,K2-228
BD-05  3504,G9,19.85,v,K2-229
K2-230,,-20.61,v,K2-230
K2-231,,41.61,v,K2-231
HD 286123,G0,22.8618,v,K2-232
BD-19  4086,K3,-10.248,v,K2-233
K2-237,F6V,-23.03,v,K2-237
K2-238,G2V,,,K2-238
K2-239,M3V,-20.5338,v,K2-239
CD-24 12581,,1.34588,v,K2-24
K2-240,M0-5V,0.12,v,K2-240
K2-241,,-8.68,v,K2-241
K2-242,,,,K2-242
BD-04  3197,,5.79,v,K2-243
K2-244,G3,-19.25,v,K2-244
K2-245,G2,29.75,v,K2-245
K2-246,G4,-10.35,v,K2-246
K2-247,,2.5521,v,K2-247
BD-11  3759,M3.5V,-1.28,v,V* HN Lib
V* HN Peg,G0V+,-16.723,v,V* HN Peg
V* HS Psc,K5,-5.9,v,V* HS Psc
V* HU Aqr,D+M4V,,,V* HU Aqr
K2-248,,16.875,v,K2-248
K2-249,,-23.979,v,K2-249
K2-25,M4.5V,38.7571,v,K2-25
K2-250,K3V,12.37,v,K2-250
K2-251,,,,K2-251
K2-252,,13.72,v,K2-252
K2-253,,,,K2-253
K2-254,,,,K2-254
K2-255,K5,9.48,v,K2-255
K2-257,M1V,12.59,v,K2-257
K2-258,G2,38.145,v,K2-258
K2-259,G2,-25.68,v,K2-259
K2-26,M1.0V,99.44,v,K2-26
K2-260,F6V,29.122,v,K2-260
BD+01  2494,G7IV-V,3.28,v,K2-261
K2-263,G9V,31.1,v,K2-263
K2-264,M1.6,35.0739,v,K2-264
BD-15  6276,?+M4-7,-17.978,v,K2-265
K2-266,K5V,10.87,v,K2-266
K2-268,K1,11.7365,v,K2-268
K2-269,F7,-3.073,v,K2-269
K2-27,,-38.077,v,K2-27
